Class 0:
読む 15457
文学 11332
先生 10332
賞 7023
ない 6032
歌詞 5298
的 5229
時間 5193
今日 5168
朝 5163
国語 5142
集 5142
読書 5141
中学 5140
嫌味 5139
と 1238
受賞 522
さん 301
者 239
や 221
思う 204
好き 143
音楽 140
氏 140
アカデミー 138
小説 126
政治 120
奴 118
ぬ 117
年 106
声 102
連絡 98
平和 96
ニュース 93
事 87
問題 85
吟遊詩人 84
演劇 81
新参 81
電話 81
大 81
先輩 79
形式 78
パフォーマンス 77
格 76
世界 64
後 63
発表 62
いける 61
気 59
方 59
貧 58
ござる 58
乳 58
ロック 56
選考 56
研究 55
聞く 54
芸術 53
かも 53
性 52
語る 51
歌手 51
今年 51
詩 51
毎年 47
さ 47
記念 44
委員 44
与える 43
日 43
曲 43
笑 42
思い出す 41
デジタル 40
国 40
中 39
歌う 38
風 38
来る 38
寝る 38
先 37
上がる 37
本 37
吹く 37
評価 36
作家 36
時代 36
歌 35
今 35
嫌い 34
高校 34
知る 34
刑事 33
仏 33
勝手 32
行く 32
話 32
まず 31
次 31
会 31
選ぶ 30
絶対 29
悪い 29
使者 29
祝福 29
友達 29
胸 29
論争 29
考える 28
表現 28
凄い 28
度 28
欲しい 28
世間 27
話題 27
詩人 27
作品 27
憎悪 26
取れる 26
良い 26
どう 26
担当 25
家 25
ファン 25
反戦 24
告白 24
時 24
米 24
周囲 23
注目 23
コメント 23
玉砕 23
肩透かし 23
食らわす 23
祭る 23
期待 23
子 23
ライブ 23
壮絶 23
貰う 23
大学 23
書店 23
記事 22
逃す 22
対象 22
もう 22
理由 22
論文 21
三 21
取材 21
目 21
影響 21
訴追 20
発言 20
上 20
新聞 20
シンガー 20
ゲーム 19
予言 19
高める 19
学生 19
本質 19
がる 19
メッセージ 19
オリンピック 18
寛 18
初 18
出演 18
翻訳 18
アピール 18
騒ぐ 18
著者 18
大いに 18
スター 18
片道 18
多く 18
筆頭 18
無い 18
非常勤 18
前後 18
店 18
ソング 18
一緒 17
出版 17
受ける 17
自体 17
関係 17
国籍 16
最近 16
批判 16
情報 16
対応 16
珈琲 16
売る 16
始まる 16
そろそろ 16
劣化 16
権威 16
映像 16
機会 16
民族 15
起きる 15
店員 15
カルチャー 15
基金 15
可能 15
治 15
ブルース 15
新書 15
直接 15
コンサート 15
現代 15
社会 15
冠 15
意味 15
文芸 15
直前 15
ツアー 15
